FRA,France,Europe,2019,12496,81,20,34,46,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
GMB,Gambia,Africa,2019,955,62,29,39,32,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,15,-1,-1,11,63,37,0,-1,-1,-1,-1,-1,-1,38,-1,-1,83,17,0,80,20,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GEO,Georgia,Europe,2019,745,59,22,43,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
DEU,Germany,Europe,2019,12018,77,17,24,59,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
GHA,Ghana,Africa,2019,10305,57,15,42,43,71,0,29,85,10,5,73,11,16,79,6,15,76,8,16,79,14,6,64,14,23,72,20,8,57,20,23,64,16,19,62,12,25,65,19,16,54,8,38,65,6,29,45,10,46,56,7,37,52,9,40,52,8,39
GIB,Gibraltar,Europe,2019,5,100,9,54,37,100,0,0,100,0,0,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0,100,0,0,100,0,0,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0,100,0,0,100,0,0,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0
GRD,Grenada,North America,2019,24,36,15,53,32,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,99,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
GTM,Guatemala,North America,2019,5468,51,22,42,36,-1,-1,19,-1,-1,0,-1,-1,27,-1,-1,-1,-1,-1,19,-1,-1,-1,76,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GIN,Guinea,Africa,2019,5242,37,21,39,39,9,24,67,-1,-1,44,-1,-1,80,-1,-1,15,9,25,65,-1,-1,-1,-1,-1,18,-1,-1,7,-1,-1,32,-1,-1,22,-1,-1,22,-1,-1,6,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,-1,-1,-1
GNB,Guinea-Bissau,Africa,2019,730,44,23,42,35,59,6,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,20,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,13,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
